,entropy,GloVe,fastText,Autoregressive,Bidirectional,GloVe MI,fastText MI,Autoregressive MI,Bidirectional MI,Lower Bound,GloVe UC,fastText UC,Autoregressive UC,Bidirectional UC
Prominence,0.536,-0.047,-0.057,-0.124,-0.165,0.583,0.593,0.66,0.701,-6.907,0.078,0.08,0.089,0.094
Prominence relative,1.355,1.194,1.154,0.924,0.878,0.161,0.201,0.431,0.477,-6.907,0.019,0.024,0.052,0.058
Energy,0.797,0.758,0.749,0.617,0.497,0.039,0.048,0.18,0.3,-6.907,0.005,0.006,0.023,0.039
Duration,-0.935,-1.355,-1.416,-1.506,-1.657,0.42,0.481,0.571,0.722,-6.907,0.07,0.081,0.096,0.121
Pitch,9.525,9.742,9.713,3.089,2.303,-0.217,-0.188,6.436,7.222,-6.907,-0.013,-0.011,0.392,0.44
Pause,-5.189,-5.532,-5.537,-5.7,-5.813,0.343,0.348,0.511,0.624,-6.907,0.2,0.203,0.297,0.363
